,default,,no sep,,no reentry,,no gen,,no all,
filename,times,eq,times,eq,times,eq,times,eq,times,eq
perm-equiv.bils,0.004,yes,0.01,N/A,0.005,N/A,0.003,N/A,0.013,N/A
pitts-1-2.bils,0.007,yes,0.007,yes,0.008,yes,0.007,N/A,0.007,N/A
pitts-3.11.bils,0.005,N/A,0.005,N/A,0.005,N/A,0.005,N/A,0.009,N/A
pitts-3.11v2.bils,0.003,N/A,0.003,N/A,0.004,N/A,0.003,N/A,0.003,N/A
qsort-isort-N100.bils,0.263,yes,17.306,N/A,0.263,yes,0.255,yes,13.86,N/A
recursive.bils,0.014,N/A,0.016,N/A,0.015,N/A,0.015,N/A,0.069,N/A
reve-ackermann.bils,0.04,N/A,0.041,N/A,0.04,N/A,0.04,N/A,0.219,N/A
reve-add-horn.bils,0.02,N/A,0.02,N/A,0.02,N/A,0.021,N/A,0.076,N/A
reve-barthe2.bils,0.006,N/A,0.006,N/A,0.006,N/A,0.006,N/A,0.008,N/A
reve-barthe.bils,0.011,N/A,0.012,N/A,0.011,N/A,0.011,N/A,0.015,N/A
reve-inlining.bils,0.026,N/A,0.027,N/A,0.029,N/A,0.027,N/A,0.508,N/A
reve-limit1unrolled.bils,0.046,N/A,0.047,N/A,0.046,N/A,0.046,N/A,0.52,N/A
reve-limit2.bils,0.014,N/A,0.013,N/A,0.014,N/A,0.014,N/A,0.054,N/A
reve-loop5.bils,0.007,N/A,0.007,N/A,0.006,N/A,0.006,N/A,0.01,N/A
reve-mccarthy.bils,0.017,N/A,0.017,N/A,0.017,N/A,0.018,N/A,0.048,N/A
reve-nested-while.bils,0.007,N/A,0.007,N/A,0.007,N/A,0.007,N/A,0.01,N/A
reve-square-twice.bils,0.009,N/A,0.009,N/A,0.008,N/A,0.009,N/A,0.01,N/A
rvt-id.bils,0.011,N/A,0.012,N/A,0.012,N/A,0.012,N/A,0.035,N/A
rvt-increase-in-call.bils,0.004,yes,0.004,yes,0.004,yes,0.004,yes,0.004,N/A
rvt-value.bils,0.012,N/A,0.01,N/A,0.01,N/A,0.01,N/A,0.025,N/A
sigma-gc-equiv.bils,0.008,yes,0.007,yes,0.007,yes,0.007,yes,0.007,N/A
state-dependent-1.bils,0.006,N/A,0.005,N/A,0.005,N/A,0.005,N/A,0.005,N/A
state-dependent-2.bils,0.006,yes,0.005,yes,0.006,N/A,0.005,N/A,0.004,N/A
state-dependent-3.bils,0.011,yes,0.01,yes,0.01,yes,0.006,N/A,0.006,N/A
state-dependent-4.bils,0.003,yes,0.1,N/A,0.003,yes,0.003,yes,0.31,N/A
state-dependent-4v2.bils,0.009,yes,0.008,yes,0.012,N/A,0.006,N/A,0.008,N/A
stateful-args-eq-2.bils,0.019,yes,0.017,yes,0.032,N/A,0.01,N/A,0.219,N/A
stateful-args-eq.bils,0.018,yes,0.017,yes,0.032,N/A,0.01,N/A,0.202,N/A
swap.bils,0.004,yes,0.004,yes,0.004,yes,0.004,yes,0.007,N/A
swap-v2.bils,0.005,yes,0.005,yes,0.004,yes,0.005,yes,0.005,N/A
symb-const-1.bils,0.004,yes,0.103,N/A,0.004,yes,0.004,yes,0.112,N/A
symb-const-2.bils,0.005,yes,0.015,N/A,0.004,yes,0.004,yes,0.116,N/A
symb-const-5.bils,0.005,N/A,0.007,N/A,0.004,N/A,0.004,N/A,0.038,N/A
symb-const-6.bils,0.004,yes,0.007,N/A,0.004,yes,0.004,yes,0.035,N/A
symb-const-min.bils,0.004,yes,0.004,yes,0.004,yes,0.004,yes,0.006,N/A
syteci-call-lock.bils,0.312,yes,0.336,N/A,22.241,N/A,23.114,N/A,150.054,error
syteci-fact.bils,0.01,N/A,0.01,N/A,0.012,N/A,0.012,N/A,0.017,N/A
syteci-fact-state.bils,0.021,N/A,0.02,N/A,0.023,N/A,0.024,N/A,0.025,N/A
syteci-irrerse-state.bils,0.006,yes,0.005,yes,0.007,N/A,0.005,N/A,0.004,N/A
syteci-iterator.bils,0.014,N/A,0.024,N/A,0.014,N/A,0.016,N/A,0.024,N/A
syteci-iterator-unfold.bils,0.028,N/A,1.864,N/A,0.027,N/A,0.029,N/A,28.697,N/A
syteci-rep-ind.bils,0.117,yes,0.128,yes,150.024,error,150.023,error,150.065,error
syteci-well-bracket-state.bils,0.018,N/A,0.017,N/A,0.024,N/A,0.022,N/A,0.029,N/A
takeuchi-knuth.bils,0.019,N/A,0.019,N/A,0.023,N/A,0.022,N/A,0.035,N/A
trivial-equiv.bils,0.004,yes,0.004,yes,0.004,yes,0.004,yes,0.02,N/A
